港澳台,#genre#
 凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8 
 凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8 
 凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
 凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
 凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 
 凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8 
 凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8 
 凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
 凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
 凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
 凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8 
 凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8 
 凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
 凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
 凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8 
 凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8 
 香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
 香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0 
 香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8 
 翡翠台,http://113.64.147.53:808/hls/67/index.m3u8 
 翡翠台,http://113.64.147.63:808/hls/67/index.m3u8 
 翡翠台,http://113.64.147.73:808/hls/67/index.m3u8 
 翡翠台,http://113.64.147.116:808/hls/67/index.m3u8 
 TVB星河,http://113.64.147.53:808/hls/135/index.m3u8 
 TVB星河,http://113.64.147.63:808/hls/135/index.m3u8 
 TVB星河,http://113.64.147.73:808/hls/135/index.m3u8 
 TVB星河,http://113.64.147.116:808/hls/135/index.m3u8 
 tvb影视,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8 
 功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8  
 无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8 
 无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8 
 Pearl,http://120.84.96.53:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.63:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.71:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.196:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.211:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.215:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.221:808/hls/26/index.m3u8 
 Pearl,http://120.84.96.222:808/hls/26/index.m3u8 
 财经体育资讯台,http://120.84.96.53:808/hls/86/index.m3u8 
 财经体育资讯台,http://120.84.96.55:808/hls/86/index.m3u8 
 财经体育资讯台,http://120.84.96.62:808/hls/86/index.m3u8 
 财经体育资讯台,http://120.84.96.63:808/hls/86/index.m3u8 
 财经体育资讯台,http://120.84.96.71:808/hls/86/index.m3u8 
 财经体育资讯台,http://120.84.96.74:808/hls/86/index.m3u8 
 J2,http://120.84.96.196:808/hls/86/index.m3u8 
 J2,http://120.84.96.211:808/hls/86/index.m3u8 
 J2,http://120.84.96.215:808/hls/86/index.m3u8 
 J2,http://120.84.96.221:808/hls/86/index.m3u8 
 J2,http://120.84.96.222:808/hls/86/index.m3u8 
 星空卫视,http://120.84.96.53:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.63:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.71:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.196:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.211:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.215:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.221:808/hls/79/index.m3u8 
 星空卫视,http://120.84.96.222:808/hls/79/index.m3u8 
